"Isotope"	"Halflife"	"Abundance"
"107Rh"	4.12861491628615e-05	NA
"108Rh"	5.32724505327245e-07	NA
"108m1Rh"	1.14155251141553e-05	NA
"109Rh"	2.53678335870117e-06	NA
"110Rh"	1.01471334348047e-07	NA
"110m1Rh"	9.03729071537291e-07	NA
"111Rh"	3.4880771182141e-07	NA
"112Rh"	6.65905631659056e-08	NA
"112m1Rh"	2.15626585489599e-07	NA
"113Rh"	8.87874175545408e-08	NA
"114Rh"	5.86631151699645e-08	NA
"114m1Rh"	5.86631151699645e-08	NA
"115Rh"	3.13926940639269e-08	NA
"116Rh"	2.15626585489599e-08	NA
"116m1Rh"	2.85388127853881e-08	NA
"117Rh"	1.39523084728564e-08	NA
"94Pd"	2.85388127853881e-07	NA
"95m1Pd"	4.21740233384069e-07	NA
"96Pd"	3.86859462201928e-06	NA
"97Pd"	5.89802130898021e-06	NA
"98Pd"	3.3675799086758e-05	NA
"99Pd"	4.07153729071537e-05	NA
"100Pd"	0.00994520547945205	NA
"101Pd"	0.00096689497716895	NA
"103Pd"	0.0465506849315068	NA
"107Pd"	6500000	NA
"107m1Pd"	6.75418569254186e-07	NA
"109Pd"	0.00156406392694064	NA
"109m1Pd"	8.93455098934551e-06	NA
"111Pd"	4.45205479452055e-05	NA
"111m1Pd"	0.000627853881278539	NA
"112Pd"	0.00240068493150685	NA
"113Pd"	2.94901065449011e-06	NA
"113m1Pd"	3.17097919837646e-06	NA
"113m2Pd"	9.51293759512938e-09	NA
"114Pd"	4.60426179604262e-06	NA
"115Pd"	7.92744799594115e-07	NA
"115m1Pd"	1.58548959918823e-06	NA
"116Pd"	3.74175545408422e-07	NA
"117Pd"	1.36352105530188e-07	NA
"118Pd"	6.02486047691527e-08	NA
"119Pd"	2.91730086250634e-08	NA
"120Pd"	1.58548959918823e-08	NA
"94m1Ag"	1.33181126331811e-08	NA
"95Ag"	6.34195839675292e-08	NA
"96Ag"	1.61719939117199e-07	NA
"97Ag"	6.02486047691527e-07	NA
"98Ag"	1.48084728564181e-06	NA
"99Ag"	3.93201420598681e-06	NA
